duration,energy_mean,energy_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,source_path_removed,filename,actor_id,gender,emotion
1.568,0.0057293535,0.003642309,192.8822703040591,24.411651810602518,-644.6463,91.7195,110.20904,64.104614,2.3124087,50.37531,29.497908,36.08438,-14.839464,24.875286,2.591769,17.69883,-21.716688,15.515434,-12.430826,14.604832,-12.09559,16.2371,-3.7245772,14.329676,-13.467363,14.586307,-3.9257967,11.05228,-11.223413,10.104005,,03-01-01-01-02-02-08.wav,8,Female,Neutral
1.6,0.0048082806,0.0034135815,209.55136555658024,28.04457916961781,-657.6334,91.12858,105.23109,54.580074,-4.7622495,46.011604,34.275845,30.466948,-19.566612,24.212553,6.2314262,15.267524,-24.761791,19.660725,-8.150796,13.906599,-9.465211,17.739538,-5.8002996,16.535297,-16.763975,13.274337,-5.2152367,12.658728,-3.4212928,9.396652,,03-01-01-01-01-01-08.wav,8,Female,Neutral
1.664,0.005829462,0.0036053364,202.32803141134883,22.75039742382106,-652.65955,92.39808,106.34722,67.18796,1.8301234,47.4442,29.597227,37.952595,-16.219034,28.10911,2.548427,16.201109,-21.611513,14.949857,-10.875093,15.324319,-11.051604,16.64307,-7.2370386,15.176924,-15.492214,14.919304,-5.795975,12.175255,-11.580389,10.162711,,03-01-01-01-02-01-08.wav,8,Female,Neutral
1.76,0.0048274905,0.0035018306,202.17511913156497,26.433972919377503,-666.94385,100.0333,110.27787,56.38476,-5.4488664,46.572323,36.824516,30.63142,-18.349419,27.33748,5.90633,15.439562,-18.77026,18.939648,-8.1918955,14.457195,-10.317386,17.090223,-7.469626,13.118431,-14.219844,13.297111,-6.220399,12.417341,-5.502113,10.856155,,03-01-01-01-01-02-08.wav,8,Female,Neutral
1.92,0.020738123,0.01656864,255.11640664040937,38.10610625802308,-512.8221,92.220505,79.09472,48.074165,-27.001675,46.959137,34.544975,31.937683,-21.631712,33.58954,-6.963189,22.103355,-18.953035,18.927732,-11.155859,15.612692,-10.033223,17.686117,-17.85066,14.845915,-7.850529,16.481752,-13.938481,15.702766,-8.679292,10.832481,,03-01-03-02-02-01-08.wav,8,Female,Happy
1.568,0.002984321,0.0020632155,216.39499264320105,11.775253958352202,-716.66876,83.03253,96.262566,70.835655,11.819873,41.858727,26.853092,29.643406,-4.303008,24.797195,5.881477,15.491608,-18.808697,14.271437,-12.558584,12.680326,-3.5973282,15.508783,-6.9597116,12.180432,-15.041395,9.773714,-4.483431,10.800282,-7.0256085,9.137441,,03-01-04-01-02-01-08.wav,8,Female,Sad
2.176,0.0027002986,0.0024661783,225.40635486082337,26.425597594901422,-752.4465,126.76409,90.42703,54.234043,13.031072,38.136322,29.902397,28.675009,-0.6929803,24.739037,1.0167766,16.76211,-11.398115,14.670711,-7.3403654,11.835073,-9.090134,14.083063,-4.9691286,15.312521,-17.014402,14.100969,-0.49218974,10.325184,-7.69653,9.4405985,,03-01-04-01-01-01-08.wav,8,Female,Sad
1.824,0.020988608,0.014580474,257.3075443536572,49.358827265319974,-523.088,96.18405,95.85547,44.35077,-28.745752,46.091293,36.393135,27.674715,-20.079657,31.34024,-1.9666883,18.376743,-13.585542,18.085009,-6.5335593,15.920669,-7.6221075,18.454903,-12.241425,16.021143,-6.576246,14.161087,-8.552503,14.04343,-3.4824286,12.183766,,03-01-03-02-01-01-08.wav,8,Female,Happy
1.856,0.0026933262,0.002066141,196.48705126947485,16.699784936953737,-728.4785,103.48575,107.86177,52.032887,5.566762,38.964645,32.69822,27.942766,-5.701784,26.573574,3.6450255,14.844177,-15.446376,17.060867,-5.766492,13.509609,-11.693413,13.664469,-7.1504884,13.233896,-13.993217,12.897969,-1.3549726,10.212673,-4.602726,9.030076,,03-01-04-01-01-02-08.wav,8,Female,Sad
1.6,0.0074100583,0.005283124,207.34118408064128,39.40578707657741,-602.2135,86.025894,102.90839,48.947933,-19.619373,48.555893,41.663147,25.01422,-16.003895,21.107983,-6.1722417,19.018526,-19.970764,16.784454,-8.381986,14.691715,-9.988195,16.959217,-6.7155347,13.353168,-14.983553,13.841015,-8.136935,13.072789,-6.6638403,9.601476,,03-01-03-01-01-02-08.wav,8,Female,Happy
